x_V,y_V,RA_V,Dec_V,V_mag,B_mag,B_minus_V,dist_pix,FWHM_V,FWHM_B,r_V,r_B,x_ast,y_ast,panel,pair,V_gaia_approx,B_minus_V_gaia_approx
"1461,44","1703,28","294,38","46,4478","0,764567","-0,355271","-1,119838","1,021763181955616","11,3887","12,3314","0,999977","0,907258","1461,44","960,72",P01,P01_V + P01_B,"12,32495849609375","0,533958271362305"
"538,085","2644,32","294,61","46,5797","0,784064","0,123181","-0,660883","0,8620069605287589","9,9888","11,1272","0,999682","0,845466","538,085","19,679999999999836",P01,P01_V + P01_B,"12,344455496093751","0,9929132713623049"
"2705,08","1567,78","294,328","46,2558","0,795743","-0,0231876","-0,8189306","1,096357605893399","10,5713","10,6673","0,902832","0,945517","2705,08","1096,22",P01,P01_V + P01_B,"12,35613449609375","0,8348656713623049"
"1623,04","882,143","294,192","46,4326","0,796089","-0,0630457","-0,8591347","1,0844832871003869","11,1856","12,1286","0,983857","0,914943","1623,04","1781,857",P01,P01_V + P01_B,"12,35648049609375","0,7946615713623049"
"1668,44","2450,75","294,545","46,4062","0,7977","-0,122022","-0,919722","0,9170605214487052","10,0283","10,8389","0,976959","0,932651","1668,44","213,25",P01,P01_V + P01_B,"12,358091496093751","0,7340742713623049"
"2056,55","2554,82","294,562","46,3445","0,832852","0,441496","-0,391356","0,83240615086633","9,90498","10,5716","0,935637","0,907104","2056,55","109,17999999999984",P01,P01_V + P01_B,"12,393243496093751","1,2624402713623049"
"1814,62","1941,85","294,428","46,3899","0,834311","-0,0958794","-0,9301904","0,9500000000001364","11,0422","11,9228","0,994229","0,921943","1814,62","722,1500000000001",P01,P01_V + P01_B,"12,39470249609375","0,7236058713623049"
"2635,52","1947,3","294,414","46,262","0,837493","-0,00126433","-0,8387573300000001","0,9840731680115068","9,83249","10,9053","0,999997","0,890097","2635,52","716,7",P01,P01_V + P01_B,"12,39788449609375","0,8150389413623048"
"1675,69","1579,6","294,348","46,4159","0,844529","-0,228044","-1,072573","1,0406248123121595","11,8063","12,3884","0,957233","0,916942","1675,69","1084,4",P01,P01_V + P01_B,"12,40492049609375","0,5812232713623049"
"2508,84","2593,75","294,562","46,2736","0,856755","-0,0428936","-0,8996486","0,8523496934944451","9,68693","10,5378","0,941686","0,899173","2508,84","70,25",P01,P01_V + P01_B,"12,41714649609375","0,7541476713623049"
"1100,94","871,884","294,199","46,514","0,857126","-0,194981","-1,052107","1,0675022248219972","11,4992","12,0334","0,882373","0,870741","1100,94","1792,116",P01,P01_V + P01_B,"12,417517496093751","0,601689271362305"
"253,216","1522,32","294,361","46,6381","0,871563","-0,134324","-1,005887","1,0169385428825206","10,3215","10,7918","0,942204","0,91183","253,216","1141,68",P01,P01_V + P01_B,"12,43195449609375","0,6479092713623049"
"3171,78","1943,25","294,404","46,1786","0,877918","0,0188642","-0,8590538","1,1458621208502748","9,86316","10,5414","0,894326","0,883799","3171,78","720,75",P01,P01_V + P01_B,"12,43830949609375","0,7947424713623049"
"1106,24","2081,55","294,472","46,4984","0,889898","-0,0983607","-0,9882587","0,9308598175881324","10,8636","11,2791","0,914556","0,919088","1106,24","582,4499999999998",P01,P01_V + P01_B,"12,45028949609375","0,6655375713623048"
"1300,42","1509,04","294,339","46,4752","0,904748","-0,201386","-1,106134","0,9903534722512592","11,8806","12,3039","0,920333","0,911282","1300,42","1154,96",P01,P01_V + P01_B,"12,46513949609375","0,5476622713623049"
"1911,94","1162,49","294,25","46,3842","0,933637","0,108415","-0,825222","1,110180165558681","11,567","11,9175","0,982466","0,999995","1911,94","1501,51",P01,P01_V + P01_B,"12,494028496093751","0,8285742713623049"
"2539,26","1769,67","294,376","46,2792","0,938728","0,130684","-0,808044","1,0026464980239749","10,7784","11,0145","0,917609","0,919889","2539,26","894,3299999999999",P01,P01_V + P01_B,"12,49911949609375","0,8457522713623049"
"1224,5","680,436","294,153","46,497","1,01237","0,00565137","-1,00671863","1,0658217486990589","11,2249","11,9552","0,892017","0,853389","1224,5","1983,5639999999999",P01,P01_V + P01_B,"12,57276149609375","0,647077641362305"
"1696,08","1374,76","294,302","46,4153","1,02172","-0,0644816","-1,0862016","1,0818964830333622","11,8716","12,1547","0,965683","0,959428","1696,08","1289,24",P01,P01_V + P01_B,"12,58211149609375","0,5675946713623048"
"2538,15","1214,38","294,251","46,2861","1,03965","-0,0374991","-1,0771491","1,2093386622446527","10,7533","11,0278","0,949103","0,954524","2538,15","1449,62",P01,P01_V + P01_B,"12,60004149609375","0,5766471713623049"
"3386,77","2353,47","294,492","46,14","1,03986","0,0437986","-0,9960614","1,0977249200051442","10,3374","10,8525","0,943141","0,945925","3386,77","310,5300000000002",P01,P01_V + P01_B,"12,600251496093751","0,6577348713623049"
"737,548","1957,53","294,451","46,5573","1,05448","0,519491","-0,534989","0,8051266981041243","10,6385","11,0259","0,900671","0,896358","737,548","706,47",P01,P01_V + P01_B,"12,61487149609375","1,118807271362305"
"2953,93","2400,58","294,511","46,2068","1,06685","0,755265","-0,3115850000000001","0,948472456110504","9,61785","10,5339","0,937604","0,891919","2953,93","263,4200000000001",P01,P01_V + P01_B,"12,62724149609375","1,342211271362305"
